Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
1,tseries,Música y baile,253500000.0,India,111300.0,3200.0,120.0,http://youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA
2,MrBeast,"Videojuegos, Humor",210100000.0,Estados Unidos,95400000.0,5400000.0,16600.0,http://youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA
3,CoComelon,Educación,168100000.0,Unknown,4099999.9999999995,21600.0,0.0,http://youtube.com/channel/UCbCmjCuTUZos6Inko4u57UQ
4,SETIndia,,165400000.0,India,23300.0,239.0,9.0,http://youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q
5,KidsDianaShow,"Animación, Juguetes",116500000.0,Unknown,4099999.9999999995,8800.0,0.0,http://youtube.com/channel/UCk8GzjMOrta8yxDcKfylJYw
658,PewDiePie,"Películas, Videojuegos",111400000.0,Estados Unidos,2900000.0,182000.0,8100.0,http://youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw
7,LikeNastyaofficial,Juguetes,110400000.0,Unknown,4099999.9999999995,14500.0,0.0,http://youtube.com/channel/UCJplp5SjeGSdVdwsfb9Q7lQ
8,VladandNiki,"Animación, Juguetes",105500000.0,Unknown,5500000.0,17300.0,0.0,http://youtube.com/channel/UCvlE5gTbOvjiolFlEm-c_Ow
9,zeemusiccompany,Música y baile,102600000.0,India,46700.0,1800.0,34.0,http://youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg
10,WWE,Videojuegos,98100000.0,Estados Unidos,148200.0,4600.0,189.0,http://youtube.com/channel/UCJ5v_MCY6GNUBTO8-D3XoAg
1173,BLACKPINK,Música y baile,92200000.0,Estados Unidos,1500000.0,183500.0,6300.0,http://youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A
12,GoldminesTelefilms,,92100000.0,India,23400.0,261.0,12.0,http://youtube.com/channel/UCyoXW-Dse7fURq30EWl_CUA
13,SonySAB,"Películas, Animación",87200000.0,India,33300.0,562.0,15.0,http://youtube.com/channel/UC6-F5tO8uklgE9Zy8IvbdFw
14,5MinuteCraftsYouTube,Películas,80500000.0,India,101100.0,574.0,25.0,http://youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw
1533,BTS,Música y baile,77000000.0,India,916400.0,166600.0,3400.0,http://youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ
16,zeetv,,74700000.0,India,2900.0,134.0,0.0,http://youtube.com/channel/UCppHT7SZKKvar4Oc9J4oljQ
171061,HYBELABELS,Música y baile,73400000.0,Estados Unidos,341100.0,47200.0,716.0,http://youtube.com/channel/UC3IZKseVpdzPSBaWxBxundA
18,Pinkfong,"Animación, Juguetes",71100000.0,Unknown,337700.0,363.0,0.0,http://youtube.com/channel/UCcdwLMPsaU2ezNSJU1nFoBQ
19,ChuChuTV,Juguetes,68800000.0,Unknown,475200.0,11000.0,0.0,http://youtube.com/channel/UCBnZ16ahKA2DZ_T5W0FPUXg
20,colorstv,,68700000.0,India,13700.0,206.0,2.0,http://youtube.com/channel/UC55IWqFLDH1Xp7iu1_xknRA
21,filmigaane,Música y baile,66900000.00000001,India,26700.0,345.0,15.0,http://youtube.com/channel/UCP6uH_XlsxrXwZQ4DlqbqPg
22,KondZilla,Música y baile,66700000.0,Brasil,15200.0,680.0,4.0,http://youtube.com/channel/UCffDXn7ycAzwL2LDlbyWOTw
23,TSeriesBhaktiSagar,Música y baile,64599999.99999999,India,19200.0,718.0,26.0,http://youtube.com/channel/UCaayLD9i5x4MmIoVZxXSv_g
24,tipsofficial,Música y baile,62300000.0,India,58700.0,852.0,21.0,http://youtube.com/channel/UCJrDMFOdv1I2k8n9oK_V21w
25,ElReinoInfantil,Música y baile,61100000.0,Unknown,409600.0,2600.0,0.0,http://youtube.com/channel/UCK1i2UviaXLUNrZlAFpw_jA
26,MOVIECLIPS,"Películas, Animación",60200000.0,Estados Unidos,9400.0,143.0,7.0,http://youtube.com/channel/UC3gNmTGu-TTbFPpfSs5kNkg
27,aajtak,Noticias y Política,60000000.0,India,9700.0,210.0,5.0,http://youtube.com/channel/UCt4t-jeY85JegMlZ-E5UWtA
2811,dudeperfect,Videojuegos,60000000.0,Estados Unidos,2700000.0,121100.0,2300.0,http://youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ
29,WaveMusicIndia,Música y baile,59700000.0,Unknown,35400.0,1300.0,33.0,http://youtube.com/channel/UC22nIfOTM7KLIQuFGMKzQbg
30,SonyMusicIndia,Música y baile,58600000.0,India,19800.0,862.0,22.0,http://youtube.com/channel/UC56gTxNs4f9xZ7Pa2i5xNzg
31,eminem,"Películas, Animación",58000000.0,Estados Unidos,2000000.0,144500.0,9300.0,http://youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw
32,infobellshindirhymes,Educación,57400000.0,Unknown,1500000.0,3200.0,0.0,http://youtube.com/channel/UC1ciY6kR3yj3kaKZ6R7ewAg
33,yrf,Música y baile,57200000.0,India,182400.0,19100.0,137.0,http://youtube.com/channel/UCbTLwN10NoCU4WDzLf1JMOA
34,marshmello,Música y baile,56800000.0,Estados Unidos,137000.0,5100.0,120.0,http://youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ
35,LooLooKids,Música y baile,55500000.0,Estados Unidos,1100000.0,4700.0,0.0,http://youtube.com/channel/UC4NALVCmcmL5ntpV0thoH6w
36259,TaylorSwift,Música y baile,55500000.0,Estados Unidos,951800.0,149800.0,4600.0,http://youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g
37,BillionSurpriseToys,Juguetes,54300000.0,Unknown,642700.0,0.0,0.0,http://youtube.com/channel/UCRx3mKNUdl8QE06nEug7p6Q
38,EdSheeran,Música y baile,54000000.0,Estados Unidos,167100.0,8300.0,251.0,http://youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A
39,shemaroo,,50100000.0,India,14200.0,111.0,7.0,http://youtube.com/channel/UCF1JIbMUs6uqoZEY1Haw0GQ
4088,JuegaGerman,"Películas, Animación",48900000.0,México,1900000.0,112100.0,3000.0,http://youtube.com/channel/UCYiGq8XF7YQD00x7wAd62Zg
41958,BillieEilish,Música y baile,48900000.0,Estados Unidos,528800.0,41300.0,1200.0,http://youtube.com/channel/UCiGm_E4ZwYSHV3bcW1pnSeQ
424,A4a4a4a4,"Animación, Humor",48800000.0,Rusia,9400000.0,274500.0,20000.0,http://youtube.com/channel/UC2tsySbe9TNrI-xh2lximHA
